PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
MINNIE BRIGHTWELL POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.24,1619,,,220873,682,23736.09765625,707.793173921717
MOUNT PLEASANT VILLAGE COMMUNITY CENTRE AND LIBRARY,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,0.293,634,2011,"SIDFORD RD, COMMUTER DR",216440,683,5614.9140625,314.07101214474
WEGENAST VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,8.343,157,1986,"WEXFORD RD,  BOVAIRD DR E, DUNDALK CR, SUNFOREST DR",199573,684,159809.77734375,2130.23199932879
MALDIVES CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.227,375,2000,"RUFFORD DR, LINSTOCK DR,MALVDIVES CRES, WHITEWELL DR",138422,685,42747.16796875,2210.7312533499
GORE MEADOWS COMMUNITY PARK - EAST,ACTIVE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,49.242,357,2013,"CASTLEMORE RD, THE GORE RD",199676,686,945785.60546875,5958.4622885452
FITZPATRICK VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,5.105,516,1980,"FITZPARTRICK DR, PRINCESS ANDREA CT",199563,687,98032.48828125,2464.70795573453
MILLSTONE WALK,ACTIVE,ENVIRONMENTAL PARKS,LINK,1.82,054,1990,"MILLSTONE DR, PENNSYLVANIA AV, KINGKNOLL DR",138456,688,34785.77734375,1668.27756157381
ICELANDIC CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.888,521,2009,MCLAUGHLIN RD,138060,689,36186.6015625,1442.42261221088
MIDCREST POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.698,1599,2012,,209524,690,32453.6875,735.639033331621
BILL BETTRIDGE POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.828,1602,2016,,214355,691,92425.078125,1269.03501519632
WHEATFIELD VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,12.92,479,2008,"MOUNTAINASH RD, KLONDIKE TRAIL, HAVILAND CIR, AIRPORT RD, UNGAVA BAY RD, DECKMAN ST",138796,692,247980.16015625,3550.59494544665
ICELANDIC CHANNEL NORTH,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.224,612,2009,"ACCENT CIR, AMARANTH CRES",216432,693,42628.5703125,1712.31715268978
ODLUM VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,6.125,518,2010,"AIRPORT RD, COUNTRYSIDE DR",138254,694,117571.11328125,3263.62051886721
HELIOTROPE CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,3.089,653,2013,,210492,695,59068.921875,1541.31164872943
DIXIE SANDALWOOD PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,11.782,250,1999,SANDALWOOD PKWY E,138182,696,224482.3359375,1911.64558796751
KIDD VALLEY NORTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,3.896,419,2004,COTTRELLE BLVD,138200,697,74782.6953125,1794.90073436984
WEXFORD PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,10.162,554,1990,"WEXFORD RD,  BOVAIRD DR E, DUNDALK CR, SUNFOREST DR",138793,698,194688.359375,2513.33451237413
ETOBICOKE CREEK DIVERSION CHANNEL NORTH,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,0.674,181,,DANGER - CONCRETE DRAINAGE CHANNEL.  NO PUBLIC ACCESS.,199574,699,12888.234375,540.095279402198
CAMDEN PARK WEST,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,0.296,556,1983,"SUMMERTIME CT, SUNFOREST DR, CORONATION CL, CLEARVIEW CT, DALZELL AV",199575,700,5675.9921875,379.924904654116
HICKORY WOOD PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,5.572,051,1992,"KINGKNOLL DR, RAY LAWSON BV, CANARVAN CT, ACADIAN HTS, TULIP DR, O'HARA PL",138311,701,106504.19921875,3238.42031581203
LEWIS POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.53,1548,2004,"OUTLOOK AVE, NEOPOLITAN RD, VICTORIA ST",138494,702,48340.12109375,1237.18400933441
EMERICK CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.911,611,2012,"INGLEBOROUGH DR, ",216443,703,36545.37890625,1297.32219432211
JENNINGS PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.819,706,,"PARITY RD, BUCHANAN CRES, EBURY DR",220855,704,15673.62109375,520.16578729154
DAVENFIELD POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.836,1652,2002,"EBENEZER RD, EBENEZER RD",138102,705,35244.3671875,797.512166469989
BURNT ELM PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,2.085,060,2003,BURNT ELM DR,138075,706,39955.5390625,845.819493484761
HUTCHINSON POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.005,1539,2005,"BOTAVIA DOWNS DR, ORANGEGROVE DR,",138491,707,38389.30078125,785.429931613252
FIGG VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,7.031,444,2007,"CORTELLE BLVD, GANDER CRES, HORIZON ST, BAYRIDGE DR,",138139,708,134925.50390625,1898.64975637858
HILLDALE PARK SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,2.615,291,1970,"HILLDALE CR, HYDE PARK CT, HAYDEN CT, HUCKLEBERRY SQ, CENTRAL PARK DR",138314,709,50170.1328125,1137.22703544425
GOLDCREST PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.2,317,1975,"CENTRAL PARK DR, GLENEADEN CRT, GLENVALE BLVD, GRAND RIVER CRT, GREENBUSH CRT, GREENARROW CRT, GLENMORE CRES",138274,710,61393.19921875,2202.27757491088
ETOBICOKE CREEK DIVERSION CHANNEL,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CHANNEL,0.641,555,,DANGER - CONCRETE DRAINAGE CHANNEL.  NO PUBLIC ACCESS.,138220,711,12274.12109375,530.932913616323
COLT PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VISTA,0.05,601,2004,COLT LANE,206012,712,945.51953125,154.028308423103
CAPTAIN FRANK CHANNEL NORTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,1.749,661,2012,"TEMPLEHILL RD,COUNTRYSIDE DR",205125,713,33554.1484375,1045.36797566993
CAPTAIN FRANK CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,5.153,253,1999,"DIXIE RD, SANDALWOOD PY E",138548,714,98824.484375,3328.9547769908
TRANS CANADA PIPELINE,ACTIVE,ENVIRONMENTAL PARKS,LINK,0.962,159,1990,"KENNEDY RD, RICHVALE DR S, ALLENHEAD CRES, SUNSTRUM PL",138753,715,18428.38671875,1319.9504334921
VALLEYDOWN PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.702,179,1986,"WILLERTON CLOSE, VALONIA DR",138770,716,32608.99609375,921.4834961037
POTTERS WHEEL POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.224,1516,2000,"POTTERS WHEEL GATE, MCLAUGHLIN RD",138511,717,23439.1015625,622.214705138197
ICEBOX CHANNEL WEST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.62,533,2000,"WESTCREEK BLVD, TOMKEN RD",216445,718,30993.51953125,1013.87171230895
TUFFLEY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.227,1603,2005,"WANLESS DR, MCLAUGHLIN RD",138061,719,61833.79296875,1355.71300943437
HACKETT VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,10.614,406,2005,"SWITCHBACK TRAIL, STONECRES DR, AIRPORT RD",138465,720,203693.6328125,2228.00413684839
EARNSCLIFFE PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,16.276,337,1971,"CLARK BLVD, ELROSE RD, EARLTON CRT, EASTBOURNE DR, EARNSCLIFFE CIRCLE",138198,721,311898.84765625,5035.96647016811
LARGE CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,9.185,431,2005,EARLSBRIDGE BLVD,138370,722,175947.9375,3424.66930273301
CAMDEN PARK EAST,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,9.448,125,1983,"SUMMERTIME CT, SUNFOREST DR, CORONATION CL, CLEARVIEW CT, DALZELL AV",138081,723,181024.16015625,2696.41187537835
LOAFER'S LAKE PARK ISLAND,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,0.214,557,1981,"LOAFER'S LAKE LANE, SANDALWOOD PY E",,724,4097.7421875,228.26430733839
CANTRILL PARK NORTH,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,0.31,158,1976,"MOUNT FOREST DR, CONSERVATION DR",199576,725,5942.48828125,395.319831113588
DIXIE HWY 407 PARK,ACTIVE,CITY PARKS,CITY SPORTS PARK,40.039,379,2005,DIXIE RD NORTHBOUND ONLY,138180,726,766439.18359375,4400.56548228258
BURTON PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,2.547,065,1984,"BURTON RD, CLIPSTONE CT, MOORE ST, WILLIAMS PY W",138077,727,48764.12109375,1412.72460686725
MANORCREST PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,2.88,296,1978,"MANORCREST ST, MACKAY ST S, MEADOW BUSH CRT",138426,728,55198.4765625,1817.39823270126
GLENFOREST PARK SOUTH,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,2.761,316,1975,"GLENFOREST RD, GRENOBLE BLVD, CENTRAL PARK DR",138270,729,52924.6171875,2218.15236686407
ESKER VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,8.207,451,2007,"COUNTRYSIDE DR, PRINCEFIELD PL, MOLDOVAN DR, FINLAYSON CRES, FATHER TOBIN RD",138219,730,157518.95703125,2097.72532182897
TEMPLETON VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,1.142,662,2009,"THE GORE RD, TEMPLETON CRT",474891,731,21914.74609375,865.772801152088
BURRELLS HOLLOW,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,29.905,449,2006,"CROCKER DR,CASTLEMORE DR,",138097,732,574026.01953125,6115.46250809817
SPARROW PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.941,112,1992,"SPARROW CT, CHERRYTREE DR",138704,733,17996.09375,573.999382125244
SOUTH FLETCHERS CREEK PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,8.533,102,1983,"ELGIN DR, MCLAUGHLIN RD S, CHAROLAIS BLVD",138701,734,163192.33984375,2439.92588816144
KEN PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,13.504,204,1987,"KENPARK AVE, BURTREE DR, FERNBROOK CRES, KENNEDY RD N, HACIENDA CRT, ARCHER CRT, CHRISTIE DR",138358,735,258958.35546875,4316.01758228948
HEATHERGLEN PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.869,708,2015,"BORRELLI DR,HEATHERGLEN DR",441774,736,16623.77734375,606.406464838849
TERRYHILL PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.076,225,1980,"TERRYHILL SQ, SANDALWOOD PKY E",138736,737,1447.09765625,160.005011342539
FENWICK PARK,ACTIVE,NEIGHBOURHOOD PARKS,WETLAND,2.823,700,2015,"HEART LAKE RD, HEARTVIEW RD",200744,738,54121.79296875,1047.78223750874
DAVID LAWRENCE POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.814,1600,2007,"CREDITVIEW RD, WILLIAMS PKY, VALLEYWAY DR, PERSONNA CIR",138773,739,92099.5625,1593.82574957188
NORMAN PRICES POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.237,1549,2007,"WILLIAMS PKWY, DEGRASSI COVE CIR",138476,740,42807.19140625,898.005745603472
AMERICAN TOAD CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,2.029,878,2015,,459534,741,38960.81640625,1111.41062269659
TRACEY CHANNEL EAST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.094,489,1990,DELTA PARK BLVD,199593,742,20971.9296875,1506.18201724934
TRACEY CHANNEL WEST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.095,360,1990,DELTA PARK BLVD,199594,743,21000.02734375,1056.12051971588
NEWCASTLE PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,2.222,270,1980,"NEWCASTLE CRES, NORTHHAMPTON ST, WILLIAMS PKY",138473,744,42589.1796875,2026.93541642997
CHESS PARK,ACTIVE,CITY PARKS,CITY PARK,0.034,529,2006,MAIN ST N,199564,745,640.68359375,127.182083198842
HANSEN ROAD SOUTH CHANNEL WEST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.029,586,2011,HANSEN RD S,199605,746,554.14453125,123.89848045096
HANSEN ROAD SOUTH CHANNEL EAST,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.685,587,1995,"HANSEN RD SOUTH, RUTHERFORD RD SOUTH",199606,747,13116.8359375,1429.43791165161
KUEHNE PARK NORTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,4.304,308,1980,"ALFRED KUEHNE BLVD, STEELES AVE",138374,748,82412.296875,1473.29104160944
RUNIANS PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.531,958,,"DOLBYHILL DR, ZELDA RD,",220858,749,10178.58203125,425.600099047394
ROYCE PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,5.986,101,1990,"ROYCE AVE, BUFFORD DR",138553,750,114531.87109375,1838.3260117131
JOHN ERVINE VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,5.314,453,2005,"MAYFIELD RD, GOREWAY RD, CONCORDE DR, LAURENTIDE CRES, SAINT HUBERT DR",138345,751,102103.81640625,2415.45753793425
NORTH WANLESS CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.35,605,2007,,199613,752,44956.5234375,2726.01687816883
BLUE OAK PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,5.986,279,1993,"FERNFOREST DR, DIXIE RD, SPRINGTOWN TRAIL, RAINFOREST DR, BLUE OAK AVE",138038,753,114807.390625,2633.41337966847
RM WELLS PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.538,659,2011,"YELLOW AVENS BLVD, FOOTBRIDGE CRES, SUMMITGREEN CRES",138520,754,10335.671875,401.763183145463
JOSE MANUEL CARDOSO PARKETTE,ACTIVE,ENVIRONMENTAL PARKS,OPEN SPACE,0.784,326,1983,"NORTH PARK DR, BRAMALEA RD",138429,755,15030.67578125,821.926047511977
HOLMES CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,6.208,432,2004,MCLAUGHLIN RD,138445,756,118891.76953125,3098.64015322764
DANIEL BOYLE PARK,ACTIVE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.502,935,2016,"HERRINGBONE CRES, BELLADONNA CIR",214351,757,9639.921875,388.457433767678
CARLETON CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.974,595,1975,"PRIVATE RD, ",,758,18651.8515625,988.353393139199
FALLINGDALE PARK,ACTIVE,ENVIRONMENTAL PARKS,OPEN SPACE,4.896,340,1970,"CLARK BLVD, BRAMALEA RD, QUEEN ST E, FONTAINE CRT",138235,759,93825.91015625,3254.90461065274
WORTHINGTON PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.936,012,2004,"WORTHINGTON AVE, HEATHERDALE DR",138818,760,37063.04296875,912.514741414993
LAKE OF DREAMS,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,4.018,467,2005,"FOUNTAINVIEW WAY, BOVAIRD DR E",138377,761,77084.0546875,1416.13068627581
SPEARHEAD VALLEY,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.496,499,2005,"EIFFEL BLVD, LOUVAIN DR, LOUVRE CIR, FOUNTAINBLEU RD, GOREWAY DR",138708,762,47937.8125,1720.01460862708
VALLEYLANDS 766,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,12.975,766,,,,763,248893.390625,3666.22860628847
WILMONT POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.245,1506,2002,"DUNLOP CRT, WILMONT CRT",138812,764,42958.59765625,1276.4237754176
HEARTVIEW MARSH,ACTIVE,ENVIRONMENTAL PARKS,WETLAND,2.035,519,2007,"HEART LAKE RD, HEARTVIEW RD",138303,765,39003.12890625,872.706137781398
SKYVALLEY PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,0.215,483,2012,"SKYVALLEY DR, RIVER HEIGHTS DR",138537,766,4118.72265625,252.274462486413
JORDANAS RAINBOW PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.608,934,2016,"ASPERMONT CRES, ALTURA WAY, APPLE VALLEY WAY",459311,767,11671.6171875,438.591419395035
KUEHNE PARK SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,5.356,558,1980,"ALFRED KUEHNE BLVD, STEELES AVE",199577,768,102538.44921875,1530.54569641368
TILBURY CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,0.964,596,1995,"TILBURY CRT, ",441055,769,18460.234375,1727.55466362647
TUMBLEWEED PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.556,055,1999,"TUMBLEWEED TR, LAURAGLEN CR",138759,770,10628.21875,438.733131084197
TED BECKFORD POND,ACTIVE,ENVIRONMENTAL PARKS,WETLAND,3.624,702,2014,,200766,771,69336.3515625,1832.94069229597
CCA INDIAN LINE CAMPGROUND,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,21.47,369,1957,,,772,411590.21875,3566.68722312099
REED PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,VEST POCKET,0.413,282,1994,"PALMOLIVE ST, SAHARA TRAIL, ROYAL SPRINGS CR, LADY BELLE CR",138527,773,7912.0390625,480.237943106534
SID MANSER PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,2.91,388,2005,"NOVA SCOTIA RD, CREDITVIEW RD",138688,774,55592.70703125,1185.64673710947
FRED KLINE PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,8.274,071,1984,"MCLAUGHLIN RD N, BROOKVIEW RD, FAIRGLEN AV",138258,775,158380.43359375,1873.36794434157
GORE BOCCE CLUB,ACTIVE,LEASED RECREATION FACILITY LANDS,LEASED RECREATION FACILITY LANDS,0.046,543,1992,,138276,776,892.0625,131.676787831656
CASTLEMORE PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,4.463,366,1980,FITZPATRICK DR,138100,777,85715.265625,1935.96935597868
STEPHEN LLEWELLYN RECREATIONAL TRAIL EAST,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,7.355,559,2001,"SOARING ROCK CRT, COUGAR CRT, MOUNTAINBERRY RD",199578,778,141136.87890625,2531.47583778364
KNIGHTSBRIDGE PARK SOUTH,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.021,578,1975,"KNIGHTSBRIDGE RD, CENTRAL PARK DR, KENSINGTON RD, KINGS CROSS RD",199600,779,19562.328125,618.414481095037
CLAIREVILLE CONSERVATION AREA NORTH,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,439.037,370,1957,,138128,780,8421645.46875,14605.8670075284
ARMAGH PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.192,635,2012,"DONOMORE DR, HAVERTY TRAIL",204730,781,3673.4921875,242.972519891683
JERSEY JOHN PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.179,636,2012,"STEMFORD RD, BETTERTON CRES, HAVERTY TRAIL",204193,782,3422.58984375,237.678766844642
MOUNT PLEASANT SQUARE,ACTIVE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.704,423,2011,COMMUTER DR,181831,783,13435.55078125,465.546348187792
VALLEYLANDS 859,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,6.708,859,,,476430,784,128337.9296875,1833.45793288477
DAMATTA PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.849,425,2008,"CREDITVIEW RD, DAMATTA RD,",138167,785,16244.046875,516.94124465503
BACH PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,1.119,088,1981,"CHAROLAIS BV, MCLAUGHLIN RD S, CHOPIN CR, BACH BV, VIVADI CR",138007,786,21421.578125,1171.6850462967
BOB REID PARK AND RECREATIONAL TRAIL,ACTIVE,ENVIRONMENTAL PARKS,LINKS,0.714,200,1989,"STEELES AVE E, TURTLECREEK BLVD",138039,787,13653.20703125,1245.66401798349
PRINCESS POINT POND EAST,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.906,1628,2015,"MIRACLE TRAIL, ROBERT PARKINSON DR,SANDALWOOD PKY W",440982,788,55611.4921875,1161.80869711779
GEORGE T WARD VISTA,ACTIVE,ENVIRONMENTAL PARKS,VISTA,0.024,412,2006,BONNIEVIEW CRT,138265,789,454.625,115.594609292125
TRANS CANADA PIPELINE WEST,ACTIVE,ENVIRONMENTAL PARKS,LINK,0.642,660,1990,STILLMAN DR,138754,790,12307.140625,989.956368730103
HENRY VERSCHUREN PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.361,567,2012,"LOCKWOOD RD, VENTURA AVE, HENRY VERSCHUREN AVE",205427,791,6911.29296875,333.141849898956
DAVID HEGGIE POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.663,1571,2011,"INGLEBOROUGH DR, FORT WILLIAMS DR",200761,792,70042.52734375,1131.40560693338
MOUNTAINASH PARK WEST,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.071,561,2006,"SWITCHBACK TRAIL, SANDALWOOD PRKY, MOUNTAINASH RD",138464,793,1352.52734375,197.969732398332
STEPHEN LLEWELLYN RECREATIONAL TRAIL SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,0.185,560,2001,"ANDES CT, MOUNTAINASH RD, TORBRAM RD, AIRPORT RD, COUGAR CT, MOUNTAINBERRY RD, EAGLERIDGE DR",199579,794,3544.9296875,263.421099944286
JAMES WILLIAM HEWSON PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,2.898,311,2000,"SUNNY MEADOW BLVD, MARBLESEED CRES, WILD INDIGO CRES",138336,795,55550.35546875,1475.10372240853
CHINGUACOUSY WELLNESS CENTRE,ACTIVE,LEASED RECREATION FACILITY LANDS,LEASED RECREATION FACILITY LANDS,2.453,542,1999,"PETER ROBERTSON BLVD, SUNNY MEADOW BLVD",138119,796,47038.59375,1125.60248987566
CLAIREVILLE CONSERVATION RESERVOIR SOUTH,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,9.72,713,1957,,199602,797,186340.65234375,2251.70727153162
AF CAMPBELL CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,2.207,426,2003,"CHINGUACOUSY RD, RIDGEMORE CRES",138120,798,42269.15234375,1944.31420153676
MAJOR GEORGE WRIGHT VISTA,ACTIVE,ENVIRONMENTAL PARKS,VISTA,0.152,589,2009,"QUEEN MARY DR, DELLS CRES, WHISPERING HILS GATE, BONISTEL CRES,",220859,799,2906.71484375,284.823244755657
LAKELANDS PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,10.161,472,2004,"STONEYLAKE AV, SOUTHLAKE BV",138379,800,194690.265625,2350.55092989678
FLETCHERS POND SOUTH,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.718,1508,2001,"BOVAIRD DR W, MONACO CRT",138458,801,13754.3984375,617.656138644066
LUNDY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.463,1505,2000,CHINGUACOUSY RD,138405,802,27991.71875,778.005528822591
JAMES SCOTT POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.319,1544,2007,PEAK DR,138335,803,44378.0078125,983.690437698027
FLETCHERS MEADOW POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.773,1502,2001,"CHINGUACOUSY RD, BOVAIRD DR W, RIVERMERE CRT",138251,804,33926.77734375,832.298067067655
STEPHEN LLEWELLYN RECREATIONAL TRAIL,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,10.383,345,1994,"ANDES CT, MOUNTAINASH RD, TORBRAM RD, AIRPORT RD, COUGAR CT, MOUNTAINBERRY RD, EAGLERIDGE DR",138717,805,199252.5390625,2976.68866794282
MOUNTAINASH PARK E,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.625,383,2005,"SWITCHBACK TRAIL, SANDALWOOD PRKY, MOUNTAINASH RD",138463,806,31176.87109375,1273.26686365267
MANSWOOD PARK NORTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,0.22,562,1981,MANSWOOD CRES,199580,807,4215.140625,276.556810979679
KORETZ PARK,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,1.448,073,1998,TESSLER CRES,138372,808,27725.62890625,677.012163389435
CEDAR LAKE POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.109,1562,2008,"CHINGUACOUSY RD, CEDAR LAKE CRES",202743,809,21191.91796875,603.371247631454
EDWARD AND HARRY DALE POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.659,1517,1997,TESSLER CRES,138373,810,12617.79296875,504.021084677822
AURORA PARKETTE,ACTIVE,NEIGHBOURHOOD PARKS,PARKETTE,0.227,123,1984,"AURORA PL, LUMINOUS CRT",138005,811,4340.234375,409.306606913618
FLETCHERS CREEK POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.691,1510,2002,VALLEYPARK CRES,138766,812,13215.875,654.233066375286
GOURLEY POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.606,1583,2015,"WANLESS DR, MCLAUGHLIN RD",220867,813,69092.0859375,1066.96142788163
SUNFOREST POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.332,1519,1994,FURROWS END,138726,814,6355.83203125,328.862248658646
VISION CHANNEL,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,3.185,377,2002,"VISION WAY, WHITWELL DR, AIRPORT RD",138802,815,61132.578125,2660.35696243215
LOAFERS LAKE PARK,ACTIVE,COMMUNITY PARKS,COMMUNITY PARK,16.794,141,1977,"LOAFER'S LAKE LANE, SANDALWOOD PY E",138397,816,321860,3499.82646523082
TORBRAM PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,1.933,347,1986,"TORBRAM RD, WALKER DR",138749,817,37029.99609375,1396.70876740208
